Name,id,Artist,Duration,Release_date,Popularity
Nazına Ölüyorum,2atL5VtCxLjX9C60iGsQvd,Çelik,230733,2023-12-27T12:24:04Z,45
Tiryakinim,4Ys2mHhC2Le4cDy9xxNFcc,Tual,246586,2023-12-27T12:24:04Z,42
Ağlamak Güzeldir,3gSc4Agrbf5Z6ZmHgqsI27,Sezen Aksu,166173,2023-12-27T12:24:05Z,46
İstanbul Benden Büyük,4N013YtYizZVLRV5Qv61SE,Yalın,217782,2023-12-27T12:24:05Z,42
Onursuz Olmasın Aşk,0yBsfcVPzD9I3k3CsM0z8S,Sezen Aksu,246520,2023-12-27T12:24:06Z,41
Acıtmıyor Sevdan,1jZ99AAGFIzPAnzgt7IARK,Yaşar,249939,2023-12-27T12:24:06Z,43
Kurşuni Renkler,2w1Imu2VIZlw8l61RcyI7l,Gökhan Türkmen,307746,2023-12-27T12:24:06Z,38
Affedecek misin?,3cRlcnOJ86ymth3rJ5fGtN,Gece Yolcuları,287760,2023-12-27T12:24:07Z,39
Sevgilim İyi ki Doğdun,3fXHJ9qxDkLaizMVfLJ37h,Pera,255510,2023-12-27T12:24:07Z,41
Gülü Susuz Seni Aşksız Bırakmam,6DUvRv4UqxNEp8b5LhIfEA,Zekai Tunca,296453,2023-12-27T12:24:08Z,38
Son Nefesim,6BNpd2aXLPCgL9uy9JsypG,Kolpa,282029,2023-12-27T12:24:08Z,41
Duydum Ki Unutmuşsun,14QdhtnSncf4RtguVp9LEq,Cem Adrian,244600,2023-12-27T12:24:08Z,41
Duydum Ki Unutmuşsun,14QdhtnSncf4RtguVp9LEq,Cem Adrian,244600,2023-12-27T12:24:09Z,41
Kalakaldın mı?,3yWuENKClBEW602jaUtG7s,Fettah Can,186340,2023-12-27T12:24:09Z,41
Tükettim (feat. S4hir),3FdCWI0HqadQj0LQ5Xgs68,Melek Mosso,224802,2023-12-27T12:24:09Z,41
Tükettim (feat. S4hir),3FdCWI0HqadQj0LQ5Xgs68,Melek Mosso,224802,2023-12-27T12:24:09Z,41
Herşey Seni Hatırlatıyor,4ZgwgaVhAkF9vAGmMvJFUf,Muazzez Abacı,345200,2023-12-27T12:24:10Z,39
Benim İçin Üzülme,16YactMFjfW0AwKE75oOM5,Funda Arar,270600,2023-12-27T12:24:10Z,43
Tesadüf Aşk,6evqur3UoNFDzJp3eY86dq,Sertab Erener,233042,2023-12-27T12:24:10Z,43
Aşk-ı Kıyamet,18MXV7fGMwOzWaYuwvHpkd,Emre Altuğ,274880,2023-12-27T12:24:11Z,36
Aşk Layık Olanda,6VUHwLM5KCRyVLzmn9FQ1d,İlhan Şeşen,215440,2023-12-27T12:24:12Z,43
Sen Ciddisin,4GNYmaKjb45BNz7ymPql4a,Sezen Aksu,238765,2023-12-27T12:24:14Z,39
Fark Ettim,4rbXJipz3CaSQwtG3xXzzT,Semicenk,155406,2023-12-24T10:46:56Z,77
Her Şeyi Yak,4uqlFpMPTKO6uAsX6qvK0l,Duman,270280,2023-12-24T10:47:15Z,65
Seni Kendime Sakladım,4TjX6QIQVSD3j2VAxlR2wa,Duman,242786,2023-12-24T10:51:21Z,63
